     	proc  	id   	;    	begin  	end   	*    	record integer 	real  	[    	num   	]    	=    	+    	(    	)    	-    	or   	and   	not   	true  	false  	<    	<=   	==   	!=   	>    	>=   	if   	then  	else  	while  	do   	call  	,    	$    	P'   	P    	S    	D    	T    	X    	C    	N1   	N2   	E    	E1   	E2   	L    	B    	B1   	B2   	R    	S1   	S2   	S0   	S3   	M0   	M    	N    	EL   
24   	     	     	     	     	     	r25   	     	     	     	     	     	     	     	r25   	     	r25   	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     
25   	     	     	     	     	     	r24   	     	     	     	s26   	     	     	     	r24   	     	r24   	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     
26   	     	s10   	     	     	     	     	     	     	     	     	s9   	     	     	     	s13   	     	s12   	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	27   	17   	16   	7    	     	     	     	     	     	     	     	     	     	     	     	     
27   	     	     	     	     	     	     	     	     	     	     	     	s28   	     	s21   	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     
28   	     	     	     	     	     	r27   	     	     	     	r27   	     	     	     	r27   	     	r27   	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     
29   	     	s25   	     	     	     	     	     	     	     	     	s24   	     	     	     	s30   	     	s29   	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	40   	39   	31   	14   	     	     	     	     	     	     	     	     	     	     	     	     
30   	     	s25   	     	     	     	     	     	     	     	     	s24   	     	     	     	s30   	     	s29   	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	35   	32   	31   	14   	     	     	     	     	     	     	     	     	     	     	     	     
31   	     	     	     	     	     	r21   	     	     	     	     	     	     	     	r21   	     	r21   	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     
32   	     	     	     	     	     	s33   	     	     	     	     	     	     	     	r19   	     	r19   	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     
33   	     	s25   	     	     	     	     	     	     	     	     	s24   	     	     	     	s30   	     	s29   	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	34   	14   	     	     	     	     	     	     	     	     	     	     	     	     
34   	     	     	     	     	     	r20   	     	     	     	     	     	     	     	r20   	     	r20   	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     
35   	     	     	     	     	     	     	     	     	     	     	     	     	     	s36   	     	s38   	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     
36   	     	s25   	     	     	     	     	     	     	     	     	s24   	     	     	     	s30   	     	s29   	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	37   	31   	14   	     	     	     	     	     	     	     	     	     	     	     	     
37   	     	     	     	     	     	s33   	     	     	     	     	     	     	     	r18   	     	r18   	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     
38   	     	     	     	     	     	r22   	     	     	     	     	     	     	     	r22   	     	r22   	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     
39   	     	     	     	     	     	s33   	     	     	     	     	     	     	     	r19   	     	r19   	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     
40   	     	     	     	     	     	r23   	     	     	     	     	     	     	     	s41   	     	r23   	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     
41   	     	s25   	     	     	     	     	     	     	     	     	s24   	     	     	     	s30   	     	s29   	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	42   	31   	14   	     	     	     	     	     	     	     	     	     	     	     	     
42   	     	     	     	     	     	s33   	     	     	     	     	     	     	     	r18   	     	r18   	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     
43   	     	     	     	     	     	     	     	     	     	     	     	     	     	s36   	     	s44   	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     
44   	     	     	     	     	     	r22   	     	     	     	     	     	r22   	     	r22   	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     
45   	     	     	     	     	     	s18   	     	     	     	     	     	r19   	     	r19   	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     
46   	     	     	     	     	     	r23   	     	     	     	     	     	r23   	     	s47   	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     
47   	     	s10   	     	     	     	     	     	     	     	     	s9   	     	     	     	s13   	     	s12   	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	48   	16   	7    	     	     	     	     	     	     	     	     	     	     	     	     
48   	     	     	     	     	     	s18   	     	     	     	     	     	r18   	     	r18   	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     
49   	     	     	     	     	     	     	     	     	     	     	     	s50   	     	s21   	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     
50   	     	     	     	     	     	r27   	     	     	     	r27   	     	r27   	     	r27   	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     
51   	     	     	     	     	     	     	     	     	     	     	     	s52   	     	s21   	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     
52   	     	     	     	     	     	r28   	     	     	     	r28   	     	r28   	     	r28   	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     
53   	     	     	     	     	     	     	     	     	     	     	     	s54   	     	s21   	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     
54   	     	     	     	     	     	r28   	     	     	     	r28   	     	     	     	r28   	     	     	     	     	     	     	     	     	r28   	r28   	r28   	r28   	r28   	r28   	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     
55   	     	     	     	     	     	r25   	     	     	     	     	     	     	     	r25   	     	     	     	     	     	     	     	     	r25   	r25   	r25   	r25   	r25   	r25   	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     
56   	     	     	     	     	     	r24   	     	     	     	s57   	     	     	     	r24   	     	     	     	     	     	     	     	     	r24   	r24   	r24   	r24   	r24   	r24   	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     
57   	     	s10   	     	     	     	     	     	     	     	     	s9   	     	     	     	s13   	     	s12   	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	58   	17   	16   	7    	     	     	     	     	     	     	     	     	     	     	     	     
58   	     	     	     	     	     	     	     	     	     	     	     	s59   	     	s21   	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     
59   	     	     	     	     	     	r27   	     	     	     	r27   	     	     	     	r27   	     	     	     	     	     	     	     	     	r27   	r27   	r27   	r27   	r27   	r27   	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     
60   	     	s56   	     	     	     	     	     	     	     	     	s55   	     	     	     	s61   	     	s60   	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	68   	65   	64   	5    	     	     	     	     	     	     	     	     	     	     	     	     
61   	     	s25   	     	     	     	     	     	     	     	     	s24   	     	     	     	s30   	     	s29   	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	62   	32   	31   	14   	     	     	     	     	     	     	     	     	     	     	     	     
62   	     	     	     	     	     	     	     	     	     	     	     	     	     	s36   	     	s63   	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     
63   	     	     	     	     	     	r22   	     	     	     	     	     	     	     	r22   	     	     	     	     	     	     	     	     	r22   	r22   	r22   	r22   	r22   	r22   	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     
64   	     	     	     	     	     	r21   	     	     	     	     	     	     	     	r21   	     	     	     	     	     	     	     	     	r21   	r21   	r21   	r21   	r21   	r21   	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     
65   	     	     	     	     	     	s66   	     	     	     	     	     	     	     	r19   	     	     	     	     	     	     	     	     	r19   	r19   	r19   	r19   	r19   	r19   	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     
66   	     	s56   	     	     	     	     	     	     	     	     	s55   	     	     	     	s61   	     	s60   	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	67   	5    	     	     	     	     	     	     	     	     	     	     	     	     
67   	     	     	     	     	     	r20   	     	     	     	     	     	     	     	r20   	     	     	     	     	     	     	     	     	r20   	r20   	r20   	r20   	r20   	r20   	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     
68   	     	     	     	     	     	r23   	     	     	     	     	     	     	     	s69   	     	     	     	     	     	     	     	     	r23   	r23   	r23   	r23   	r23   	r23   	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     
69   	     	s56   	     	     	     	     	     	     	     	     	s55   	     	     	     	s61   	     	s60   	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	70   	64   	5    	     	     	     	     	     	     	     	     	     	     	     	     
70   	     	     	     	     	     	s66   	     	     	     	     	     	     	     	r18   	     	     	     	     	     	     	     	     	r18   	r18   	r18   	r18   	r18   	r18   	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     
71   	     	     	     	     	     	s66   	     	     	     	     	     	     	     	r19   	     	     	     	     	     	     	     	     	r19   	r19   	r19   	r19   	r19   	r19   	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     
72   	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	r37   	r37   	     	     	     	     	     	     	     	     	     	     	     	     	     	r37   	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     
73   	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	r36   	r36   	     	     	     	     	     	     	     	     	     	     	     	     	     	r36   	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     
74   	     	     	     	     	     	     	     	     	     	     	     	     	     	s81   	     	     	     	     	     	     	     	     	s80   	s79   	s78   	s77   	s76   	s75   	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	83   	     	     	     	     	     	     	     	     
75   	     	r43   	     	     	     	     	     	     	     	     	r43   	     	     	     	r43   	     	r43   	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     
76   	     	r42   	     	     	     	     	     	     	     	     	r42   	     	     	     	r42   	     	r42   	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     
77   	     	r41   	     	     	     	     	     	     	     	     	r41   	     	     	     	r41   	     	r41   	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     
78   	     	r40   	     	     	     	     	     	     	     	     	r40   	     	     	     	r40   	     	r40   	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     
79   	     	r39   	     	     	     	     	     	     	     	     	r39   	     	     	     	r39   	     	r39   	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     
80   	     	r38   	     	     	     	     	     	     	     	     	r38   	     	     	     	r38   	     	r38   	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     
81   	     	s56   	     	     	     	     	     	     	     	     	s55   	     	     	     	s61   	     	s60   	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	82   	64   	5    	     	     	     	     	     	     	     	     	     	     	     	     
82   	     	     	     	     	     	s66   	     	     	     	     	     	     	     	r18   	     	     	     	     	     	     	     	     	r18   	r18   	r18   	r18   	r18   	r18   	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     
83   	     	s89   	     	     	     	     	     	     	     	     	s88   	     	     	     	s94   	     	s93   	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	105   	104   	97   	84   	     	     	     	     	     	     	     	     	     	     	     	     
84   	     	     	     	     	     	r26   	     	     	     	s85   	     	     	     	r26   	     	     	     	r26   	r26   	     	     	     	     	     	     	     	     	     	     	     	     	     	r26   	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     
85   	     	s10   	     	     	     	     	     	     	     	     	s9   	     	     	     	s13   	     	s12   	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	86   	17   	16   	7    	     	     	     	     	     	     	     	     	     	     	     	     
86   	     	     	     	     	     	     	     	     	     	     	     	s87   	     	s21   	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     
87   	     	     	     	     	     	r28   	     	     	     	r28   	     	     	     	r28   	     	     	     	r28   	r28   	     	     	     	     	     	     	     	     	     	     	     	     	     	r28   	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     
88   	     	     	     	     	     	r25   	     	     	     	     	     	     	     	r25   	     	     	     	r25   	r25   	     	     	     	     	     	     	     	     	     	     	     	     	     	r25   	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     
89   	     	     	     	     	     	r24   	     	     	     	s90   	     	     	     	r24   	     	     	     	r24   	r24   	     	     	     	     	     	     	     	     	     	     	     	     	     	r24   	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     
90   	     	s10   	     	     	     	     	     	     	     	     	s9   	     	     	     	s13   	     	s12   	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	91   	17   	16   	7    	     	     	     	     	     	     	     	     	     	     	     	     
91   	     	     	     	     	     	     	     	     	     	     	     	s92   	     	s21   	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     
92   	     	     	     	     	     	r27   	     	     	     	r27   	     	     	     	r27   	     	     	     	r27   	r27   	     	     	     	     	     	     	     	     	     	     	     	     	     	r27   	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     
93   	     	s89   	     	     	     	     	     	     	     	     	s88   	     	     	     	s94   	     	s93   	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	101   	98   	97   	84   	     	     	     	     	     	     	     	     	     	     	     	     
94   	     	s25   	     	     	     	     	     	     	     	     	s24   	     	     	     	s30   	     	s29   	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	95   	32   	31   	14   	     	     	     	     	     	     	     	     	     	     	     	     
95   	     	     	     	     	     	     	     	     	     	     	     	     	     	s36   	     	s96   	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     
96   	     	     	     	     	     	r22   	     	     	     	     	     	     	     	r22   	     	     	     	r22   	r22   	     	     	     	     	     	     	     	     	     	     	     	     	     	r22   	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     
97   	     	     	     	     	     	r21   	     	     	     	     	     	     	     	r21   	     	     	     	r21   	r21   	     	     	     	     	     	     	     	     	     	     	     	     	     	r21   	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     
98   	     	     	     	     	     	s99   	     	     	     	     	     	     	     	r19   	     	     	     	r19   	r19   	     	     	     	     	     	     	     	     	     	     	     	     	     	r19   	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     
99   	     	s89   	     	     	     	     	     	     	     	     	s88   	     	     	     	s94   	     	s93   	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	100   	84   	     	     	     	     	     	     	     	     	     	     	     	     
